epoch,train_loss,val_loss,train_acc,val_acc,train_auc,val_auc,train_dice,val_dice,train_feat_f1,val_feat_f1
1,1.9413309149742126,1.4199731538170262,46.2,65.33333333333333,0.6366079564243842,0.8050717903495682,0.6354885811433196,0.705081538150185,0.3527136960169996,0.3832723176376427
2,1.5264997220039367,1.2847907103990253,55.2,68.0,0.7346271795603815,0.8332397232397232,0.7187241477966309,0.7325934830464815,0.4368851118953286,0.496729302689055
3,1.3956433494091034,1.1618514186457585,57.95,73.33333333333333,0.7724694788239663,0.8514766200877312,0.76458855843544,0.7623863816261292,0.497755151178371,0.47779352570374245
4,1.2878239638805389,1.1192513939581419,62.1,73.33333333333333,0.8065973823165696,0.8645270881381992,0.7813083157539368,0.7832078369040238,0.48992171275576846,0.44905326147789887
5,1.234506656885147,1.161107257792824,63.7,72.66666666666667,0.8224834201434615,0.8621729299507077,0.791713928937912,0.7950870739786249,0.5213967746735549,0.5414594105403946
6,1.2002893035411835,1.1061360945827083,65.0,71.33333333333334,0.8270491666805958,0.8738712522045855,0.8124921088218688,0.798645512053841,0.5360096427480328,0.5046855756811761
7,1.1565803716182708,1.1168658090265173,66.8,69.33333333333334,0.8450456829020391,0.8929508660064216,0.8148968145847321,0.7954457464971041,0.5240992770902988,0.5185411695106985
8,1.0992425825595855,1.0167810320854187,68.35,79.33333333333333,0.8611322683706889,0.8987869126758016,0.8299400084018708,0.8096524602488467,0.5167830809025855,0.5328068044786312
9,1.0667018339633942,1.038956642150879,70.39999999999999,74.0,0.8714372225892338,0.8942698864921087,0.8353314528465271,0.8142945484111184,0.548525913130557,0.5414746072640809
10,1.0266531519889832,0.9834734123004111,71.1,77.33333333333333,0.8824384088846321,0.8999292271514494,0.8412113485336303,0.8101618133093181,0.5554385675212301,0.5721348826611985
11,1.0289557409286498,0.9880159246294122,71.8,73.33333333333333,0.8751626902836115,0.9109632342965677,0.844004138469696,0.8214352130889893,0.5647293164351989,0.5870683496070492
12,1.0068304538726807,0.9061954209679052,72.65,80.0,0.8836752010313872,0.9182684393795505,0.8465045704841614,0.8103813560385453,0.5703500945219212,0.5867912874878819
13,0.9393730107545852,0.9375649423975694,76.5,78.66666666666666,0.9040230058977595,0.922720684665129,0.8529563777446747,0.8240499810168618,0.5694429244989617,0.5685256264203633
14,0.9432311413288117,0.8915064899544967,74.5,78.66666666666666,0.8973053631991306,0.9260447474336363,0.8584096870422363,0.8229438725270724,0.5865687197907011,0.5943243045043599
15,0.9208511645793915,0.8905241301185206,75.44999999999999,82.0,0.9073061905209973,0.9280543119432009,0.8558144021034241,0.8274788793764616,0.5945127929861675,0.5937530993258547
16,0.8821023299694061,0.8811400030788622,76.6,78.66666666666666,0.9191421900117666,0.9267574503685614,0.8584661495685577,0.8268930629680031,0.5978197110079464,0.6059523174511732
17,0.9075183155536651,0.9083521930794967,76.35,79.33333333333333,0.9126369019213577,0.9299646135757248,0.8582273306846618,0.82501010518325,0.5911080020083116,0.5707233354699544
18,0.884367938041687,0.864147065501464,76.05,79.33333333333333,0.9156323490492689,0.9316220096775653,0.8660299239158631,0.8244433434386003,0.5882202008861451,0.5885281385281385
19,0.8918463089466095,0.8047582397335454,75.8,84.0,0.9104122738396102,0.9434136028580472,0.8653653848171234,0.8226485064155177,0.5868567433598394,0.5912041862506259
20,0.8515213379859924,0.9732815780137715,79.2,78.0,0.9253331596276135,0.9118776285442953,0.8669603657722473,0.817276280177267,0.5984249039574115,0.5625433855880327
21,0.8215465179681778,0.8440686652534887,78.8,79.33333333333333,0.9302926807779412,0.9368533215755438,0.8739606971740723,0.823949867173245,0.59508258655689,0.6102574190605803
22,0.8149436345100403,0.8945910663981187,79.75,80.0,0.9331768099393614,0.9268301451634785,0.869678946018219,0.8097553472769888,0.6171957581462225,0.5922430610144476
